LoadFactor,Insert_ns,SearchHit_ns,SearchMiss_ns,Delete_ns
0.1,12.87,6.18,6.32,4.39
0.2,10.39,7.49,9.02,5.67
0.3,9.78,7.92,11.5,6.09
0.4,10.1,9.52,16.1,7.55
0.5,11.4,11.31,22.25,9.23
0.6,13.72,13.56,29.46,11.27
0.7,15.66,15.79,34.99,13.46
0.8,18.91,20,51.09,17.57
0.9,24.92,27.65,134.14,25.14
