LoadFactor,Insert_ns,SearchHit_ns,SearchMiss_ns,Delete_ns
0.1,20.76,15.5,86.72,14.26
0.2,23.89,22.4,93.63,21.27
0.3,27.98,31.38,107.31,30.7
0.4,32.49,37.14,116.23,36.5
0.5,33.58,37.22,114.64,36.71
0.6,39.07,41.44,139.8,40.92
0.7,48.6,47.41,154.37,46.46
0.8,59.84,60.13,204.5,58.03
0.9,68.8,68.37,248.51,67.25
