LoadFactor,Insert_ns,SearchHit_ns,SearchMiss_ns,Delete_ns
0.1,19.76,8.69,6.57,15.6
0.2,16.07,8.99,6.85,14.06
0.3,15.33,8.99,7.17,13.32
0.4,14.66,9.16,7.37,12.05
0.5,14.06,9.04,8.16,11.83
0.6,14.15,9.46,9.87,11.78
0.7,14.27,9.57,13.92,11.36
0.8,15.23,11.25,24.14,12.57
0.9,17.35,14.05,51.46,15.04
