LoadFactor,Insert_ns,SearchHit_ns,SearchMiss_ns,Delete_ns
0.1,14.35,5.62,5.91,3.92
0.2,12.01,6.57,8.13,4.74
0.3,11.64,7.8,11.25,5.77
0.4,12.5,9.33,15.62,7.17
0.5,14.93,11.77,21.98,9.3
0.6,18.73,15.57,28.84,12.64
0.7,24.12,20.7,35.07,17.42
0.8,32.47,26.2,49.36,23.03
0.9,56.21,32.39,133.96,29.15
